87109 	99 	98 	99
31044 	69 	59 	69
32140 	66 	95 	78
33511 	73 	88 	100
36626 	83 	78 	89
42902 	98 	81 	93
84161 	79 	98 	100
93727 	100 	94 	100
83132 	76 	67 	81
47836 	88 	100 	77
78344 	70 	100 	90
42054 	88 	75 	73
44032 	66 	90 	90
94293 	88 	98 	89
53371 	70 	71 	96
68812 	99 	98 	91
96442 	76 	89 	95
65924 	77 	39 	92
51049 	88 	100 	98
62892 	87 	89 	70
16383 	82 	88 	66
69259 	89 	83 	76
67807 	100 	26 	96
43690 	72 	89 	65
23744 	46 	59 	63
83913 	69 	97 	78
14714 	100 	86 	100
81651 	97 	100 	90
12591 	66 	66 	89
19135 	100 	78 	88
