1000 	1 	1 	99 	98 	99
1001 	1 	2 	88 	59 	69
1002 	1 	1 	99 	98 	99
1003 	2 	1 	73 	88 	100
1004 	1 	1 	83 	78 	89
1005 	2 	1 	98 	81 	93
1006 	2 	1 	78 	98 	100
1007 	2 	2 	100 	94 	100
1008 	2 	2 	76 	67 	81
1009 	2 	2 	88 	100 	77
1010 	2 	2 	70 	100 	90
1011 	1 	2 	88 	75 	73
1012 	1 	2 	87 	90 	90
1013 	1 	2 	88 	98 	89
1014 	2 	2 	70 	88 	96
1015 	2 	2 	99 	98 	91
1016 	1 	1 	76 	69 	95
1017 	1 	1 	77 	98 	92
1018 	1 	1 	88 	100 	98
1019 	1 	1 	87 	89 	70
1020 	2 	2 	82 	88 	66
1021 	2 	1 	89 	83 	76
1022 	2 	2 	100 	26 	96
1023 	2 	2 	72 	89 	65
1024 	1 	2 	46 	59 	70
1025 	2 	1 	69 	97 	78
1026 	1 	2 	100 	86 	100
1027 	2 	2 	97 	100 	90
1028 	1 	2 	66 	72 	89
1029 	1 	1 	100 	99 	88
