Freshman Class Averages
------------------------

1000	98.6667	A
1001	72	C
1002	79.6667	C
1004	83.3333	B
1011	78.6667	C
1012	89	B
1013	91.6667	A
1016	80	B
1017	89	B
1018	95.3333	A
1019	82	B
1024	58.3333	F
1026	95.3333	A
1028	75.6667	C
1029	95.6667	A

	Class Average: 84.2889	B


Sophomore Class Averages
------------------------

1003	87	B
1005	90.6667	A
1006	92	A
1007	98	A
1008	74.6667	C
1009	88.3333	B
1010	86.6667	B
1014	84.6667	B
1015	96	A
1020	78.6667	C
1021	82.6667	B
1022	74	C
1023	75.3333	C
1025	81.3333	B
1027	95.6667	A

	Class Average: 85.7111	B
